,Title,Authors/Co-Authors
1,`Deciphering the Topology of Sitagliptin Using an Integrated Approach <https://pubs.acs.org/doi/full/10.1021/acsomega.4c09930>`_,Brijith Thomas
2,`Heteronuclear Spin Decoupling under Cryogenic Magic-Angle-Spinning Dynamic Nuclear Polarization Conditions <https://chemrxiv.org/engage/chemrxiv/article-details/66d805e6cec5d6c142153a81>`_,Asif Equbal
3,`Solid State NMR for Mechanistic Exploration of CO2 Adsorption on Amine-Based Silica Adsorbents <https://pubs.acs.org/doi/full/10.1021/acsomega.4c11221>`_,Brijith Thomas
4,`Freezing-Activated Covalent Organic Frameworks for PreciseFluorescence Cryo-Imaging of Cancer Tissue <https://pubs.acs.org/doi/full/10.1021/jacs.4c13848>`_,Ali Trabolsi
5,`Fast and Accurate Prediction of Tautomer Ratios in Aqueous Solution via a Siamese Neural Network <https://pubs.acs.org/doi/full/10.1021/acs.jctc.5c00041>`_,Yingkai Zhang
6,`Dynamic Nuclear Polarization of TEMPO Radical Cross Conjugated with a Thioanisole Scaffold <https://www.sciencedirect.com/science/article/pii/S0926204025000219>`_,Brijith Thomas
7,`Investigating the Mechanism of Ion Concentration Polarization Within Nanofluidic Hydrogel Membranes: Experiment and Simulation <https://advanced.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/admi.202401018>`_,Serdal Kirmizialtin
8,`HB-CUFIX: Force field for accurate RNA simulations <https://pubs.aip.org/aip/jcp/article/162/20/200901/3347562>`_,Serdal Kirmizialtin
9,`Balancing Pore Accessibility and Hydrophobicity for Enhanced Perfluorooctanoic Acid Removal: A Case Study on NU-1000 <file:///home/mennatallah/Downloads/alkhatib-et-al-2025-balancing-pore-accessibility-and-hydrophobicity-for-enhanced-perfluorooctanoic-acid-removal-a-case.pdf>`_,Serdal Kirmizialtin
10,`Accurate Prediction of Mechanical Property of Organic Crystals Using Molecular Dynamics-Based Nanoindentation Simulations <https://pubs.acs.org/doi/full/10.1021/jacs.5c09944>`_,Serdal Kirmizialtin
