,Title,Authors/Co-Authors
1,`Study of dark counts in optical superconducting transition-edge sensors <https://arxiv.org/html/2402.03073v1>`_,Francesco Arneodo
2,`The dark balance: quantifying the inner halo response to active galactic nuclei feedback in galaxies <https://arxiv.org/html/2403.02375v1>`_,Andrea V. Macciò
3,`HELLO project: High-z Evolution of Large and Luminous Objects <https://arxiv.org/pdf/2403.03985.pdf>`_,Andrea V. Macciò
4,"`Sulfur dioxide in the mid-infrared
transmission spectrum of WASP-39b <https://escholarship.org/content/qt6rv7x3df/qt6rv7x3df.pdf>`_",Jasmina Blecic
5,"`Expanding Mars’s Climate Modeling: Interpretable Machine Learning for Modeling
Mars Science Laboratory Relative Humidity <https://iopscience.iop.org/article/10.3847/PSJ/ad25fd/pdf>`_",Dimitra Atri
6,`Dark counts in optical superconducting transition-edge sensors for rare-event searches <https://journals.aps.org/prapplied/abstract/10.1103/PhysRevApplied.22.024051>`_,Francesco Arneodo
7,`The potential for long-lived intermediate mass black hole binaries in the lowest density dwarf galaxies <https://arxiv.org/pdf/2408.14541>`_,Andrea V. Macciò
8,`A Data-driven Discovery of the Causal Connection between Galaxy and Black Hole Evolution <https://arxiv.org/pdf/2410.00965>`_,Andrea V. Macciò
9,"`Beyond Causal Discovery for Astronomy: Learning
Meaningful Representations with Independent
Component Analysis <https://arxiv.org/pdf/2410.14775>`_",Andrea V. Macciò
10,`Turbulent convection in rotating slender cells <https://www.cambridge.org/core/journals/journal-of-fluid-mechanics/article/turbulent-convection-in-rotating-slender-cells/53280B32B07F1DE8B3B8C5888E532E03>`_,Ambrish Pandey
11,`Supergranular-scale solar convection not explained by mixing-length theory <https://www.nature.com/articles/s41550-024-02304-w>`_,Chris Hanson
12,`Existence of small-scale Rossby waves points to low convective velocity amplitudes in the Sun <https://pubs.aip.org/aip/pof/article/36/8/086626/3309928/Existence-of-small-scale-Rossby-waves-points-to>`_,Chris Hanson
13,`Magnetic Flux in the Sun Emerges Unaffected by Supergranular-scale Surface Flows <https://iopscience.iop.org/article/10.3847/1538-4357/ad2ae3>`_,Chris Hanson
14,`A Linear Model for Inertial Modes in a Differentially Rotating Sun <https://iopscience.iop.org/article/10.3847/1538-4357/ad226c>`_,Chris Hanson
